Unlabeled	U_avg	U_sd	L_avg	L_sd
U[134]	0.23431966895887604	1.3144430998565606	0.23431966895887604	1.3144430998565606
U[135]	0.22202350729811826	1.0738265139943717	0.22202350729811826	1.0738265139943717
U[136]	0.23250257498596852	1.1425136542386751	0.23250257498596852	1.1425136542386751
U[137]	0.23376306320224333	1.1713643095629915	0.23376306320224333	1.1713643095629915
U[138]	0.238633879134231	1.2403267368239776	0.238633879134231	1.2403267368239776
U[139]	0.2275138484091564	1.1283261881735875	0.2275138484091564	1.1283261881735875
U[140]	0.23977385535487702	1.1548192334629337	0.23977385535487702	1.1548192334629337
U[141]	0.24008917986506767	1.2182647330123335	0.24008917986506767	1.2182647330123335
U[142]	0.24930155102467735	1.2217015152135364	0.24930155102467735	1.2217015152135364
U[143]	0.25950558627815373	1.370482000393669	0.25950558627815373	1.370482000393669
U[144]	0.22681890905667315	1.1599301011403793	0.22681890905667315	1.1599301011403793
U[145]	0.2336234380139399	1.1280013431207396	0.2336234380139399	1.1280013431207396
U[146]	0.24080925497411054	1.1879371128358749	0.24080925497411054	1.1879371128358749
U[147]	0.242002712104779	1.239985680717135	0.242002712104779	1.239985680717135
U[148]	0.23234017313142885	1.162623797286026	0.23234017313142885	1.162623797286026
U[149]	0.22282197870514017	1.0940327531783007	0.22282197870514017	1.0940327531783007
U[150]	0.15949869354155197	0.5244671509369117	0.15949869354155197	0.5244671509369117
U[151]	0.1547447656148076	0.5863151426469508	0.1547447656148076	0.5863151426469508
U[152]	0.150074552682346	0.5584043753920165	0.150074552682346	0.5584043753920165
U[153]	0.16808103562444995	0.7087364779972657	0.16808103562444995	0.7087364779972657
U[154]	0.13990513279412148	0.542134642811633	0.13990513279412148	0.542134642811633
U[155]	0.1280988676467721	0.4300181076695948	0.1280988676467721	0.4300181076695948
U[156]	0.14213790482134037	0.629098411479053	0.14213790482134037	0.629098411479053
U[157]	0.15912729422315863	0.6454797258349355	0.15912729422315863	0.6454797258349355
U[158]	0.14799199150769154	0.567685439318314	0.14799199150769154	0.567685439318314
U[159]	0.1532905130176537	0.5011739120560592	0.1532905130176537	0.5011739120560592
U[160]	0.15184452168718643	0.5591824558247648	0.15184452168718643	0.5591824558247648
U[161]	0.14431960108493408	0.48790317742284317	0.14431960108493408	0.48790317742284317
U[162]	0.22811904579774217	1.0402137575119075	0.22811904579774217	1.0402137575119075
U[163]	0.2092774744285083	1.021623940668154	0.2092774744285083	1.021623940668154
U[164]	0.20118277787056207	0.9667514359119256	0.20118277787056207	0.9667514359119256
U[165]	0.18071230190406865	0.7703810007270526	0.18071230190406865	0.7703810007270526
U[166]	0.1929982127058252	1.0100364705829845	0.1929982127058252	1.0100364705829845
U[167]	0.17864523707241997	0.8185387166373503	0.17864523707241997	0.8185387166373503
U[168]	0.17591702607328755	0.8594811707048291	0.17591702607328755	0.8594811707048291
U[169]	0.1744747650406721	0.834597252937854	0.1744747650406721	0.834597252937854
U[170]	0.18428927803809586	0.9215214018424535	0.18428927803809586	0.9215214018424535
U[171]	0.1964950755286465	0.9265565154519877	0.1964950755286465	0.9265565154519877
U[172]	0.16456374538635055	0.7378475393390956	0.16456374538635055	0.7378475393390956
U[173]	0.17751155789172668	0.8802451329080321	0.17751155789172668	0.8802451329080321
U[174]	0.17352424652974013	0.9410993965168143	0.17352424652974013	0.9410993965168143
U[175]	0.17363334213303072	0.843790320416371	0.17363334213303072	0.843790320416371
U[176]	0.17240253858993446	0.9023793201373906	0.17240253858993446	0.9023793201373906
U[177]	0.15751061054276405	0.7166917323975935	0.15751061054276405	0.7166917323975935
U[178]	0.1623220549564446	0.7874017816836566	0.1623220549564446	0.7874017816836566
